by,id,parent,text,time,type,kids,deleted,dead
delta_p_delta_x,41022966,41021366,"The moment I read &#x27;it is a <i>content update</i> that causes the BSOD, deleting it solves the problem&#x27;, I was immediately willing to bet a hundred quid (for the non-British, that&#x27;s £100) that it was a combination of said bad binary data and a poorly-written parser that didn&#x27;t error out correctly upon reading invalid data (in this case, read an array of pointers, didn&#x27;t verify that all of them were both non-null and pointed to valid data&#x2F;code).<p>In the past ten years or so of having done somewhat serious computing and zero cybersecurity whatsoever, I have my mind concluded, feel free to disagree.<p>Approximately <i>100%</i> of CVEs, crashes, bugs, slowdowns, and pain points of computing have to do with various forms of deserialising binary data back into machine-readable data structures. All because a) human programmers forget to account for edge cases, and b) imperative programming languages allow us to do so.<p>This includes everything from: decompression algorithms; font outline readers; image, video, and audio parsers; video game data parsers; XML and HTML parsers; the various certificate&#x2F;signature&#x2F;key parsers in OpenSSL (and derivatives); and now, this CrowdStrike content parser in its EDR program.<p>That wager stands, by the way, and I&#x27;m happy to up the ante by £50 to account for my second theory.",1721543911,comment,"[41023539, 41024341, 41024315, 41023295, 41024296, 41024197, 41023515, 41023546, 41024313, 41023990, 41023658, 41023398, 41023395, 41023371]",,
siscia,41023690,41021366,"The thing I don&#x27;t understand about all of this is another, much less technical and much more important.<p>Why the blas radius was so huge?<p>I have deployed much less important services much more slowly with automatic monitoring and rollback in place.<p>You first deploy to beta, where you don&#x27;t get customers traffic, if everything goes right to a small part of your fleet, and slowly increase the percentage of hosts that receives the updates.<p>This would have stopped the issue immediately, and I somehow I thought it was common practices...",1721553811,comment,"[41023746, 41023735, 41023703, 41023719, 41023760]",,
G3rn0ti,41022728,41021366,By-passing the discussion whether one actually needs root kit powered endpoint surveillance software such as CS perhaps an open-source solution would be a killer to move this whole sector to more ethical standards. So the main tool would be open source and it would be transparent what it does exactly and that it is free of backdoors or really bad bugs. It could be audited by the public. On the other hand it could still be a business model to supply malware signatures as a security team feeding this system.,1721541040,comment,"[41022886, 41022991, 41023727, 41024051, 41023615, 41023600, 41022937]",,
MBCook,41021738,41021366,"<a href=""https:&#x2F;&#x2F;twitter-thread.com&#x2F;t&#x2F;1814343502886477857"" rel=""nofollow"">https:&#x2F;&#x2F;twitter-thread.com&#x2F;t&#x2F;1814343502886477857</a>",1721526376,comment,[41024154],,
golemiprague,41021903,41021366,"But how come they didn&#x27;t catch it in the testing deployments? what was the difference that caused it to happen when they deployed to the outside world. I find it hard to believe that they didn&#x27;t test it before deployment. I also think companies should all have a testing environment before deploying 3rd party components. I mean, we all install some packages during development that fails or cause some problems but nobody think it is a good idea to do it directly in their production environment before testing, so how is this different?",1721528632,comment,"[41022942, 41022302, 41022473, 41023642, 41022415, 41022824, 41022191]",,
hannasm,41023055,41021366,Do these customers of crowd strike even have a say in these updates going out or do they all just bend over and let crowd strike have full RCE on every machine in their enterprise.<p>I sure hope the certificate authorities and other crypto folks get to keep that stuff off their systems at least.,1721544839,comment,"[41023098, 41023219, 41023141]",,
throwyhrowghjj,41023475,41021366,"This is a pretty brief &#x27;analysis&#x27;. The poster traces back one stack frame in assembler, it basically amounts to just reading out a stack dump from gdb. It&#x27;s a good starting point I guess.",1721551036,comment,,,
wasabinator,41023982,41021366,"I wonder what privilege level this service runs at. If it&#x27;s less than ring 0, i think some blame needs to go to Windows itself. If it&#x27;s ring 0, did it really need to be that high??<p>Surely an OS doesn&#x27;t have to go completely kaput due to one service crashing.",1721557685,comment,,,
mianos,41022250,41021366,"A &#x27;channel file&#x27; is a file interpreted by their signature detection system. How far is this from a bytecode compiled domain specific language? Javascript anyone?<p>eBPF, much the same thing, is actually thought about and well designed. If it wasn&#x27;t it would be easy to crash linux.<p>This is what they do and they are doing badly. I bet it&#x27;s just shit on shit under the hood, developed by somewhat competent engineers, all gone or promoted to management.",1721534062,comment,[41022344],,
nickm12,41022213,41021366,"It&#x27;s really difficult to evaluate the risk the CrowdStrike system imposed. Was this a confluence of improbable events or an inevitable disaster waiting to happen?<p>Some still-open questions in my mind:<p>- was the broken rule in the config file (C-00000291-...32.sys) human authored and reviewed or machine-generated?<p>- was the config file syntactically or semantically invalid according to its spec?<p>- what is the intended failure mode of the kernel driver that encounters an invalid config (presumably it&#x27;s not &quot;go into a boot loop&quot;)?<p>- what automated testing was done on both the file going out and the kernel driver code? Where would we have expected to catch this bug?<p>- what release strategy, if any, was in place to limit the blast radius of a bug? Was there a bug in the release gates or were there simply no release gates?<p>Given what we know so far, it seems much more likely that this was a &quot;disaster waiting to happen&quot; but I still think there&#x27;s a lot more to know. I look forward to the public post-mortem.",1721533410,comment,"[41022876, 41023572, 41022317, 41022245, 41022422, 41022297, 41022285]",,
canistel,41021857,41021366,"Out of curiosity: In the old days, SoftIce could have been used which was a kernel mode debugger. What tool can be used these days?",1721527976,comment,"[41021929, 41021897, 41022773]",,
donatj,41023337,41021366,"I am genuinely curious what their CI process that passed this looks like, as well as if they&#x27;re doing any sort of dogfooding or manual QA? Are changes just CI&#x2F;CD&#x27;d out to production right away?",1721548671,comment,,,
mkl95,41023113,41021366,How feasible would it be to implement blue green deployments in that kind of system?,1721545632,comment,,,
brcmthrowaway,41022099,41021366,How did it pass CI?,1721531703,comment,"[41022131, 41022119, 41022337, 41023071]",,
system2,41022840,41021366,Maybe one day people will learn what a blog is.,1721542398,comment,,,
switch007,41023840,41021366,Is there commercial pressure to push out &quot;content&quot; updates asap so you can say you&#x27;re quicker than your competition at responding to emerging threats?,1721555719,comment,,,
minhoryang,41023869,41021366,Can we find an uptime(availability) graph for the CrowdStrike agent? Don&#x27;t you think this graph should be included in the postmortem?,1721556081,comment,,,
iwontberude,41022809,41021366,"Crowdstrike isn’t a company anymore, this is probably their end. The litigation will be death by thousand cuts.",1721542082,comment,"[41022855, 41022859]",,
Anonymityisdead,41022031,41021366,Where is a good place and way to start practicing disassembly in 2024?,1721530443,comment,"[41022070, 41022047, 41022323, 41023060, 41022403, 41022821, 41022464]",,
hatsunearu,41023330,41021366,So was the totally empty channel file just a red herring?,1721548604,comment,[41023424],,
JSDevOps,41023070,41021366,Hasn’t this been debunked?,1721545114,comment,,,
blirio,41021626,41021366,So is unmapped address another way of saying null pointer?,1721524920,comment,"[41021997, 41021746, 41022095, 41021632]",,
codeulike,41023108,41021366,"&#x27;Analysis&#x27; of the null pointer  is completely missing the point. The simple fact of the matter is they didnt do anywhere near enough testing before pushing the files out. Auto update comes with big responsibility, this was criminally reckless",1721545580,comment,[41023715],,
Taniwha,41022435,41021366,Really the underlying problem here is that their software is loading external data into their kernel driver and not correctly sanitising their inputs,1721537082,comment,"[41022549, 41022481]",,
webprofusion,41023416,41021366,"The girl on the supermarket checkout said she hoped her computer wouldn&#x27;t be affected. I knowingly laughed and said &quot;you probably don&#x27;t have on your own computer unless your a bank&quot;.<p>She said, &quot;I installed it before for my cybersecurity course but I think it was just a trial&quot;<p>Assumptions eh.",1721549869,comment,[41023626],,
peter_retief,41023448,41021366,I don&#x27;t do windows either.,1721550532,comment,,,
heraldgeezer,41023725,41021366,"How strange to cite ResetEra, a gaming forum with a significant certain community, and may not be considered a reliable source.",1721554312,comment,,,
anothername12,41022708,41021366,"I found windows confusing. In Linux speak, was this some kind of kernel module thing that CS installed? It’s all I can think of for why the machines BSOD",1721540709,comment,[41022754],,
hatsunearu,41023440,41021366,"I see a paradox that the null bytes are &quot;not related&quot; to the current situation and yet deleting the file seems to cure the issue. Perhaps the CS official statement that &quot;This is not related to null bytes contained within Channel File 291 or any other Channel File.&quot; is poorly worded.<p>My opinion is that CS is trying to say the null bytes themselves aren&#x27;t the actual root cause of the issue, but merely a trigger for the actual root cause, which is that CSAgent.sys has a problem where malformed input vectors can cause it to crash. Well designed programs should error out gracefully for foreseeable errors, like corrupted config files.<p>If we interpret that quoted sentence such that &quot;this&quot; is referring to &quot;the logical error&quot;, and that &quot;the logical error&quot; is the error in CSAgent.sys that causes it to crash upon reading a bad channel file, then that statement makes sense.<p>This is a bit of a stretch, but so far my impression with CS corporate communication regarding this issue has been nothing but abject chaos, so this is totally on-brand for them.",1721550399,comment,"[41023877, 41024159]",,
andix,41021977,41021366,"How sure are we, that this was not a cyberattack?<p>It seems really scary to me, that crowdstrike is able to push updates in real time to most of their customers systems. I don&#x27;t know of any other system, that would provide a similar method to inject code at kernel level. Not even windows updates, as they always roll out with some delay and not to all computers at the same time<p>If you want to attack high profile systems, crowdstrike would be one of the best possible targets.",1721529515,comment,"[41022985, 41021982]",,
Fr0styMatt88,41021776,41021366,"The scarier thought I&#x27;ve had -- if a black hat had discovered this crash case, could it have been turned into a widely deployed code execution vulnerability?",1721526920,comment,"[41021835, 41021912, 41021862, 41021792, 41021901, 41021889, 41021983]",,
qmarchi,41021654,41021366,"Meta Conversation: The fact that X has a &quot;Show Probable Spam&quot; and both of the responses were pretty valid, with one even getting a reply from the creator.<p>I just don&#x27;t understand how they still have users.",1721525354,comment,"[41021692, 41021834, 41021874, 41021821, 41021861, 41021985, 41022946, 41021975, 41021699, 41021691, 41021853, 41021851]",,
GTP,41023156,41021366,[flagged],1721546282,comment,"[41023329, 41024143]",,True
mykehunt,41024141,41021366,[flagged],1721559740,comment,[41024151],,True
m0llusk,41022071,41021366,Ended up being forced because it was a &quot;content update&quot;.  This is the update of our discontent!,1721531259,comment,,,
